Job Post ID,Job Title,Status,Created Date,Start Date,End Date,CIG or SAGC?,Work Type,Employer,Location,Occupation,Sub-Industry,Industry
W4G3G5,Mason / Steelfitter / Carpenter,Closed,2025-01-01,2025-01-01,2025-01-15,No,Full-time,Edgewater Development Ltd,George Town,Stonemasons  stone cutters  splitters and carvers,Construction & Civil Engineering,Construction
W6F4C4,Assistant Store Supervisor,Closed,2025-01-01,2025-01-01,2025-01-15,No,Full-time,Jefferson Pizza Services Ltd,George Town,Restaurant managers,"Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
B3P7N8,Hair Stylist,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Pierce & Co. Ltd T/a Artista Salon,George Town,Beauticians and related workers,"Hairdressing, Beauty Treatment & Other Personal Care",Other Service Activities
B8X5P5,Administrative Clerk (purchasing),Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Kirk Market,George Town,Accounting and bookkeeping clerks,Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
C6B6Q3,Heavy Equipment Mechanic,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Professional Waste Management Limited,George Town,Motor vehicle mechanics and repairers,"Water Supply, Sewerage & Waste Management","Water Supply; Sewerage, Waste Management and Remediation Activities"
D2P3K6,Truck Driver,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Naask Ltd. T/a Cayman Islands Custom Agency,George Town,Heavy truck and lorry drivers,Customs & Shipping Agents,Transportation and Storage
G2C2M3,Security Guard,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Elite Security Ltd,George Town,Security guards,Private Security Services,Administrative and Support Service Activities
H5C6U5,Padi Dive Instructor,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Sunset Divers Limited,George Town,Underwater Divers,"Travel Agencies, Tour Operators & Reservation Services",Administrative and Support Service Activities
K2S3Y6,Kitchen Helper Helper Helper,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Claudette Thompson T/a Exclusive Restaurant,George Town,Kitchen helpers,"Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
N3C8N2,Warehouse Counter Sales Rep,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Massive Equipment Rentals & Sales Ltd.,George Town,Sales workers not elsewhere classified,Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
N4Y4V3,Cashier,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Brown's Holdings Ltd,George Town,Cashiers and Ticket Clerks,Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
T4W7Q8,Handy Man,Closed,2025-01-02,2025-01-02,2025-01-16,No,Full-time,Complete Maintenance Ltd,George Town,Building caretakers,Maintenance & Repair of Buildings,Administrative and Support Service Activities
